@type,@context,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,priceString,price,beds,baths,sqft,name,url
GeoCoordinates,http://schema.org,0 Periwinkle Way LOT 261,Dunlap,TN,37327,35.3791,-85.44499,"$88,400",88400,5,,,"0 Periwinkle Way Lot 261, Dunlap, TN 37327",https://www.zillow.com/homedetails/0-Periwinkle-Way-LOT-261-Dunlap-TN-37327/2066354511_zpid/
GeoCoordinates,http://schema.org,331 Ernest Stewart Rd,Dunlap,TN,37327,"5,324",35.48502,-85.286964,$1.20M,1.2,5,4,5324,"331 Ernest Stewart Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/331-Ernest-Stewart-Rd-Dunlap-TN-37327/40794019_zpid/
GeoCoordinates,http://schema.org,Cherry St,Dunlap,TN,37327,35.37494,-85.399086,"$7,500",7500,,,,"Cherry St, Dunlap, TN 37327",https://www.zillow.com/homedetails/Cherry-St-Dunlap-TN-37327/42122021_zpid/
GeoCoordinates,http://schema.org,11551 State Highway 8,Dunlap,TN,37327,"1,950",35.520203,-85.4711,"$205,000",205000,4,2,1950,"11551 State Highway 8, Dunlap, TN 37327",https://www.zillow.com/homedetails/11551-State-Highway-8-Dunlap-TN-37327/2061840429_zpid/
GeoCoordinates,http://schema.org,173 Hidden Hollow Cir,Dunlap,TN,37327,"2,688",35.450027,-85.34716,"$564,480",564480,3,3,2688,"173 Hidden Hollow Cir, Dunlap, TN 37327",https://www.zillow.com/homedetails/173-Hidden-Hollow-Cir-Dunlap-TN-37327/2064209877_zpid/
GeoCoordinates,http://schema.org,Countryside Dr,Dunlap,TN,37327,35.333973,-85.40025,"$8,000",8000,,,,"Countryside Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Countryside-Dr-Dunlap-TN-37327/66952777_zpid/
GeoCoordinates,http://schema.org,16 Countryside Dr #16,Dunlap,TN,37327,35.334023,-85.40031,"$8,000",8000,0,,,"16 Countryside Dr #16, Dunlap, TN 37327",https://www.zillow.com/homedetails/16-Countryside-Dr-16-Dunlap-TN-37327/2099048061_zpid/
GeoCoordinates,http://schema.org,1025 McCarver Loop Rd,Dunlap,TN,37327,780,35.4883,-85.454575,"$72,000",72000,1,,780,"1025 Mccarver Loop Rd, Dunlap, TN 37327",https://www.zillow.com/homedetails/1025-McCarver-Loop-Rd-Dunlap-TN-37327/42118764_zpid/
GeoCoordinates,http://schema.org,Timeless Trl,Dunlap,TN,37327,35.35202,-85.44034,"$32,500",32500,,,,"Timeless Trl, Dunlap, TN 37327",https://www.zillow.com/homedetails/Timeless-Trl-Dunlap-TN-37327/70973117_zpid/
GeoCoordinates,http://schema.org,Bluff View Dr,Dunlap,TN,37327,35.36054,-85.45139,"$38,500",38500,,,,"Bluff View Dr, Dunlap, TN 37327",https://www.zillow.com/homedetails/Bluff-View-Dr-Dunlap-TN-37327/81252249_zpid/
